title,link
"The Rensselaer Polytechnic: September 25, 1869",https://digitalassets.archives.rpi.edu/do/c3bd55d0-fd69-4d09-9198-c5d62abdef75
"The Rensselaer Polytechnic: October 9, 1869",https://digitalassets.archives.rpi.edu/do/13b12078-de5a-49bb-8dd7-7b3b0605949e
"The Rensselaer Polytechnic: October 23, 1869",https://digitalassets.archives.rpi.edu/do/b6fb8671-2ed6-4eb1-96c4-48486765cb46
"The Rensselaer Polytechnic: November 6, 1869",https://digitalassets.archives.rpi.edu/do/0c3ae34f-8462-4d2c-8db0-fe8822854831
"The Rensselaer Polytechnic: November 20, 1869",https://digitalassets.archives.rpi.edu/do/67437ed3-e5f4-4a89-ae08-15933c182062
"The Rensselaer Polytechnic: December 4, 1869",https://digitalassets.archives.rpi.edu/do/0e0da983-3544-43d1-9069-dedb13387634
"The Rensselaer Polytechnic: December 18, 1869",https://digitalassets.archives.rpi.edu/do/4672fe1d-816b-43c4-8679-172558746457
"The Rensselaer Polytechnic: February 16, 1885",https://digitalassets.archives.rpi.edu/do/1ab27a0c-3242-46d8-92d9-44e3c6057895
"The Rensselaer Polytechnic: March 14, 1885",https://digitalassets.archives.rpi.edu/do/18e2feab-3a81-4293-8f80-eb25a16bfbfd
"The Rensselaer Polytechnic: April 11, 1885",https://digitalassets.archives.rpi.edu/do/0b0005b5-abd8-4fbc-b748-57ce65efaf99
"The Rensselaer Polytechnic: May 13, 1885",https://digitalassets.archives.rpi.edu/do/66eca5c0-b279-42e3-a8ff-2a58bff71c78
"The Rensselaer Polytechnic: June 9, 1885",https://digitalassets.archives.rpi.edu/do/4a197364-0cc3-4be6-883c-49d71660933b
"The Rensselaer Polytechnic: September 26, 1885",https://digitalassets.archives.rpi.edu/do/e426f27f-ddbe-4a38-b501-7e959a7b58f0
"The Rensselaer Polytechnic: October 24, 1885",https://digitalassets.archives.rpi.edu/do/ed8099b1-dde6-42c9-85f1-da603d36e9d1
"The Rensselaer Polytechnic: November 21, 1885",https://digitalassets.archives.rpi.edu/do/e3b2f60b-11da-4ffd-b485-f12e51c3f5bb
"The Rensselaer Polytechnic: December 19, 1885",https://digitalassets.archives.rpi.edu/do/084f2280-aacc-4a20-ae9c-6468c9a9dad6
"The Rensselaer Polytechnic: January 16, 1886",https://digitalassets.archives.rpi.edu/do/0b3aa62c-6786-48df-8e4a-3200bfc0c0c9
"The Rensselaer Polytechnic: February 13, 1886",https://digitalassets.archives.rpi.edu/do/95b60350-8ab4-489a-a475-22f95201b57c
"The Rensselaer Polytechnic: March 13, 1886",https://digitalassets.archives.rpi.edu/do/0a593282-5494-4c2f-8656-ecc6cc27a9a5
"The Rensselaer Polytechnic: April 10, 1886",https://digitalassets.archives.rpi.edu/do/14675e26-a6f9-474b-8224-b6dfe502d64a
"The Rensselaer Polytechnic: May 8, 1886",https://digitalassets.archives.rpi.edu/do/11823b9f-3e82-4a4f-96ee-4b8316d3eb34
"The Rensselaer Polytechnic: June 5, 1886",https://digitalassets.archives.rpi.edu/do/972bc3f2-e788-4b12-b95b-90d2c33cfb28
"The Rensselaer Polytechnic: June 19, 1886",https://digitalassets.archives.rpi.edu/do/d40c44b6-482b-40b1-9a14-0b0afa6d48ab
"The Rensselaer Polytechnic: October 2, 1886",https://digitalassets.archives.rpi.edu/do/9813c4f1-b3a0-46be-bc3a-e99ca45284c4
"The Rensselaer Polytechnic: October 30, 1886",https://digitalassets.archives.rpi.edu/do/8290e7ae-7a99-4869-aa79-6059dc0f0bf2
"The Rensselaer Polytechnic: November 27, 1886",https://digitalassets.archives.rpi.edu/do/7815beaf-ed37-4e6c-817f-7df861c48991
"The Rensselaer Polytechnic: December 22, 1886",https://digitalassets.archives.rpi.edu/do/30b64eea-0eaa-4205-846b-84abae6a779d
"The Rensselaer Polytechnic: January 22, 1887",https://digitalassets.archives.rpi.edu/do/7b1b15b5-ea13-4824-9614-b6a4d7623716
"The Rensselaer Polytechnic: February 19, 1887",https://digitalassets.archives.rpi.edu/do/d4c04b9d-97d7-42ff-8d38-06a256959d61
"The Rensselaer Polytechnic: March 19, 1887",https://digitalassets.archives.rpi.edu/do/ff0a78fa-83e5-4333-a7ff-698a627a54d6
"The Rensselaer Polytechnic: April 16, 1887",https://digitalassets.archives.rpi.edu/do/9af49d91-3a45-4000-822c-f22c4e767fea
"The Rensselaer Polytechnic: May 14, 1887",https://digitalassets.archives.rpi.edu/do/e99e80af-29aa-4de8-9416-e07245d0fec8
"The Rensselaer Polytechnic: June 11, 1887",https://digitalassets.archives.rpi.edu/do/ff2b6b13-df09-412a-911d-a678dfc66481
"The Rensselaer Polytechnic: October 8, 1887",https://digitalassets.archives.rpi.edu/do/5ceee748-93a0-4c91-a57e-a577461bf780
"The Rensselaer Polytechnic: November 5, 1887",https://digitalassets.archives.rpi.edu/do/456962d1-a529-4cf1-84e9-0fd3310179a5
"The Rensselaer Polytechnic: December 3, 1887",https://digitalassets.archives.rpi.edu/do/c43799c9-5661-46ba-9d66-5bf9c00622b3
"The Rensselaer Polytechnic: December 24, 1887",https://digitalassets.archives.rpi.edu/do/9f0e5c8c-b204-4e73-8093-ec8f809ce2f5
"The Rensselaer Polytechnic: January 28, 1888",https://digitalassets.archives.rpi.edu/do/2dac7fee-2191-4c17-aed0-7535fef06e4f
"The Rensselaer Polytechnic: February 25, 1888",https://digitalassets.archives.rpi.edu/do/5f7b7d25-246e-47c9-a3f5-a7e074877b2c
"The Rensselaer Polytechnic: March 24, 1888",https://digitalassets.archives.rpi.edu/do/dced2f7b-5f7a-4a50-823b-0c50e871b0f7
"The Rensselaer Polytechnic: April 21, 1888",https://digitalassets.archives.rpi.edu/do/d6368c6e-fa3c-43dc-8c62-caddb2e00275
"The Rensselaer Polytechnic: May 19, 1888",https://digitalassets.archives.rpi.edu/do/012c4073-a165-45e9-a244-d6a3e9714126
"The Rensselaer Polytechnic: June 16, 1888",https://digitalassets.archives.rpi.edu/do/9997ef71-a59a-44e2-94ae-6a2582e91dc3
"The Rensselaer Polytechnic: September 29, 1888",https://digitalassets.archives.rpi.edu/do/f49d04ec-2e00-46e2-9ede-c4d92b8852d9
"The Rensselaer Polytechnic: October 27, 1888",https://digitalassets.archives.rpi.edu/do/b144dd5f-4859-43ba-bb0c-409705f8118a
"The Rensselaer Polytechnic: November 24, 1888",https://digitalassets.archives.rpi.edu/do/b1b34e88-29bd-437f-8a94-7c22d1bfb4cd
"The Rensselaer Polytechnic: December 22, 1888",https://digitalassets.archives.rpi.edu/do/3e0d9c0a-5a84-4d08-8965-0cf6804ed42e
"The Rensselaer Polytechnic: January 19, 1889",https://digitalassets.archives.rpi.edu/do/c153bb21-51a0-4e82-80cb-dd8b3c5a540a
"The Rensselaer Polytechnic: February 16, 1889",https://digitalassets.archives.rpi.edu/do/cbcea21e-582d-40aa-8814-a10560c0a865
"The Rensselaer Polytechnic: March 16, 1889",https://digitalassets.archives.rpi.edu/do/e5ed4bdc-ab7c-4cb7-b17f-49950eaea6cf
"The Rensselaer Polytechnic: April 13, 1889",https://digitalassets.archives.rpi.edu/do/de791b68-c751-41ad-a1b1-686f33d97995
"The Rensselaer Polytechnic: May 18, 1889",https://digitalassets.archives.rpi.edu/do/f4f3d30c-753b-4678-9b60-a4325efad293
"The Rensselaer Polytechnic: June 22, 1889",https://digitalassets.archives.rpi.edu/do/844ea1f7-0e2a-44ce-b697-0a16cedadf29
"The Rensselaer Polytechnic: October 5, 1889",https://digitalassets.archives.rpi.edu/do/d804b6c2-cdab-4dca-a58c-1b3483e5ce24
"The Rensselaer Polytechnic: November 2, 1889",https://digitalassets.archives.rpi.edu/do/da8f0169-b08c-4143-9d23-00acbe1ac7b7
"The Rensselaer Polytechnic: November 30, 1889",https://digitalassets.archives.rpi.edu/do/3567f8e6-42b8-4b64-9acd-1af50afd28f8
"The Rensselaer Polytechnic: December 21, 1889",https://digitalassets.archives.rpi.edu/do/cf9f275f-7c3e-4ac9-8512-16d36878dc9b
"The Rensselaer Polytechnic: January 25, 1890",https://digitalassets.archives.rpi.edu/do/6a1fe416-3394-4f59-880a-67979600c735
"The Rensselaer Polytechnic: February 22, 1890",https://digitalassets.archives.rpi.edu/do/ad9e780c-8bd7-4d68-a7ee-d9612132c783
"The Rensselaer Polytechnic: March 22, 1890",https://digitalassets.archives.rpi.edu/do/5d905f47-5048-4f2b-836e-d629267bacba
"The Rensselaer Polytechnic: April 19, 1890",https://digitalassets.archives.rpi.edu/do/a3bdfe2c-9606-4af3-90ff-258c339a46fc
"The Rensselaer Polytechnic: May 17, 1890",https://digitalassets.archives.rpi.edu/do/f9b24ade-50f0-4cfc-92ab-802d99a48a47
"The Rensselaer Polytechnic: June 28, 1890",https://digitalassets.archives.rpi.edu/do/bb866f9f-1b1c-4072-a3af-f000212110d6
"The Rensselaer Polytechnic: October 4, 1890",https://digitalassets.archives.rpi.edu/do/c5b2ea10-8ad6-4b23-b747-09100cdee944
"The Rensselaer Polytechnic: November 1, 1890",https://digitalassets.archives.rpi.edu/do/59cfb9dc-fef1-40e9-9a8a-5f154a09e7dc
"The Rensselaer Polytechnic: November 29, 1890",https://digitalassets.archives.rpi.edu/do/1aa253dd-67c4-4612-b171-f6b72a785616
"The Rensselaer Polytechnic: December 20, 1890",https://digitalassets.archives.rpi.edu/do/76e6da7c-aae8-4c21-929f-a1e906ccfa1e
"The Rensselaer Polytechnic: January 24, 1891",https://digitalassets.archives.rpi.edu/do/0bb7b1e6-9cac-41fd-b2ba-fffd6065d890
"The Rensselaer Polytechnic: February 21, 1891",https://digitalassets.archives.rpi.edu/do/533d59de-2ce2-43da-8fef-b2a665f9abf9
"The Rensselaer Polytechnic: March 21, 1891",https://digitalassets.archives.rpi.edu/do/931f6e22-e491-4429-bc93-b3f47b0c744e
"The Rensselaer Polytechnic: April 18, 1891",https://digitalassets.archives.rpi.edu/do/9f66e26f-7280-4d37-8ca9-9aeea37a3ea1
"The Rensselaer Polytechnic: May 16, 1891",https://digitalassets.archives.rpi.edu/do/c22c0f4f-0832-4cc9-94b5-b7b02e04b3ff
"The Rensselaer Polytechnic: June 27, 1891",https://digitalassets.archives.rpi.edu/do/55c41221-fc14-4a19-9aef-3bd96e13b1fe
"The Rensselaer Polytechnic: October 8, 1891",https://digitalassets.archives.rpi.edu/do/3a8e177c-cc39-47d3-9260-069997602286
"The Rensselaer Polytechnic: October 31, 1891",https://digitalassets.archives.rpi.edu/do/86d54925-3312-44af-a5ec-c1c09072c5d2
"The Rensselaer Polytechnic: November 28, 1891",https://digitalassets.archives.rpi.edu/do/76d5b73b-d310-4409-b8c5-5c9ef8cc8249
"The Rensselaer Polytechnic: December 23, 1891",https://digitalassets.archives.rpi.edu/do/990dd1b0-a863-440e-bec2-5026cfa7e6f4
"The Rensselaer Polytechnic: January 23, 1892",https://digitalassets.archives.rpi.edu/do/fa1d9a6c-e8bb-4cb9-9562-99aa55971442
"The Rensselaer Polytechnic: February 27, 1892",https://digitalassets.archives.rpi.edu/do/8647334c-9208-4c29-b36d-ba4217860a81
"The Rensselaer Polytechnic: March 24, 1892",https://digitalassets.archives.rpi.edu/do/ea39bcb2-4793-42f8-9247-1acbe13c23ad
"The Rensselaer Polytechnic: April 23, 1892",https://digitalassets.archives.rpi.edu/do/acde784d-9320-495b-b3c7-f931484da8b7
"The Rensselaer Polytechnic: May 21, 1892",https://digitalassets.archives.rpi.edu/do/d96d0420-efc8-40e3-ad06-fa16ca9b9301
"The Rensselaer Polytechnic: June 25, 1892",https://digitalassets.archives.rpi.edu/do/7d6d2076-3532-44a9-acb6-df495e909f6e
"The Rensselaer Polytechnic: October 8, 1892",https://digitalassets.archives.rpi.edu/do/61e7fa5f-57b2-4b57-be5a-2dbcdec81175
"The Rensselaer Polytechnic: November 5, 1892",https://digitalassets.archives.rpi.edu/do/3e74498e-6295-4697-b39b-c18bc88d5f9f
"The Rensselaer Polytechnic: December 3, 1892",https://digitalassets.archives.rpi.edu/do/6cb90c14-4563-4310-a540-bdbe7990e668
"The Rensselaer Polytechnic: December 24, 1892",https://digitalassets.archives.rpi.edu/do/fbea7192-31b0-4178-8dd5-3fe55297abd9
"The Rensselaer Polytechnic: January 28, 1893",https://digitalassets.archives.rpi.edu/do/9197229b-c25e-4c2a-b297-5b6a356fcf04
"The Rensselaer Polytechnic: February 25, 1893",https://digitalassets.archives.rpi.edu/do/89be8d2e-e7cc-40ea-aeed-e9113284c535
"The Rensselaer Polytechnic: March 31, 1893",https://digitalassets.archives.rpi.edu/do/c3d92f43-60c7-4066-a4ec-f04a481d8545
"The Rensselaer Polytechnic: April 22, 1893",https://digitalassets.archives.rpi.edu/do/c0af9667-075a-4373-8033-1ad94502686f
"The Rensselaer Polytechnic: May 27, 1893",https://digitalassets.archives.rpi.edu/do/6520d9f0-cbd6-47dc-ae6a-163bf5081e07
"The Rensselaer Polytechnic: June 22, 1893",https://digitalassets.archives.rpi.edu/do/7d76a612-ab64-4faa-ad31-60ad96258559
"The Rensselaer Polytechnic: September 30, 1893",https://digitalassets.archives.rpi.edu/do/54090a1d-ea7c-42ec-814a-1fa198665454
"The Rensselaer Polytechnic: October 28, 1893",https://digitalassets.archives.rpi.edu/do/77984d39-fe7f-4c90-9735-dbd413483b57
"The Rensselaer Polytechnic: November 29, 1893",https://digitalassets.archives.rpi.edu/do/f156255f-8e6d-4706-b9c0-c15a66b13978
